expression,reading,meaning,tags,guid
微量,び리ょう,미량,JLPT_1 JLPT,Ix21c!hl+{
昼飯,ひるめし,점심밥,JLPT_1 JLPT,B4a{kV3{l&
比例,ひれい,비례,JLPT_1 JLPT,u^9gz.!&Uk
疲労,ひろう,피로,JLPT_1 JLPT,m.KXL51O8=
敏感,びんかん,민감,JLPT_1 JLPT,i]}jt3Q.(f
貧困,ひんこん,빈곤,JLPT_1 JLPT,xy9G9E{K5M
品質,ひんしつ,품질,JLPT_1 JLPT,v)0nMB=(Mu
貧弱,ひんじゃく,빈약함,JLPT_1 JLPT,"AT#enW$Yd,"
品種,ひんしゅ,품종,JLPT_1 JLPT,K%9{]!|f1(
ヒント,ヒント,힌트,JLPT_1 JLPT,l]_+v%b&%R
頻繁,ひんぱん,빈번함,JLPT_1 JLPT,D{nW!<u7<*
貧乏,びんぼう,가난,JLPT_1 JLPT,KjBzaYHZW.
ファイト,ファイト,파이트·투지,JLPT_1 JLPT,"C?{V+<,&x0"
ファイル,ファイル,파일,JLPT_1 Genki_Ln.16 JLPT Genki,srC<dgokBJ
ファン,ファン,팬,JLPT_1 JLPT,hsy0ORScG&
不意,ふい,불의·갑작스러움,JLPT_1 JLPT,xgYlO*O}d~
フィルタ,フィルタ,필터,JLPT_1 JLPT,jmKbIb6QcW
封,ふう,봉함·봉투,JLPT_1 JLPT,iHGcq7T#S>
封鎖,ふうさ,봉쇄,JLPT_1 JLPT,Ae_x+Wt0^{
風車,ふうしゃ,풍차,JLPT_1 JLPT,m${YvIujFj
風習,ふうしゅう,풍습,JLPT_1 JLPT,IfkXX^HH}1
風俗,ふうぞく,풍속,JLPT_1 JLPT,e3n120S&QB
ブーツ,ブーツ,부츠,JLPT_1 JLPT,Nihzy$?;~s
風土,ふうど,풍토,JLPT_1 JLPT,B(IXgyGNd~
ブーム,ブーム,붐·열기,JLPT_1 JLPT,FMQ@X9![T+
フォーム,フォーム,폼·형식·거품,JLPT_1 JLPT,N.>_aoM)4S
部下,ぶか,부하,JLPT Intermediate_Japanese JLPT_1 Intermediate_Japanese_Ln.9 Genki_Ln.22 Genki,At:l-rSeL9
不可欠,ふかけつ,불가결·필수,JLPT_1 JLPT,$D>BzY&Eq
ぶかぶか,ぶかぶか,헐렁헐렁,JLPT_1 JLPT,M4TQ1zs9*D
不吉,ふきつ,불길함,JLPT_1 JLPT,GG4guCQ>St
不況,ふきょう,불황,JLPT_1 JLPT,NAxBuR@3>.
布巾,ふきん,행주,JLPT_1 JLPT,P<Zf%&wJ!m
複合,ふくごう,복합,JLPT_1 JLPT,p=QT;iGf;n
福祉,ふくし,복지,JLPT_1 JLPT,b03!@u1#5V
覆面,ふくめん,복면,JLPT_1 JLPT,QXg#lB9xS_
膨れる,ふくれる,부풀다·불룩해지다,JLPT_1 JLPT,"Ie:O+1U,1j"
不景気,ふけいき,불경기,JLPT_1 JLPT,"iNdMUnu]F,"
耽る,ふける,빠지다·몰두하다,JLPT_1 JLPT,v[B)O.T7PD
老ける,ふける,나이 먹다·늙다,JLPT_1 JLPT,QZ$)s`u+7V
富豪,ふごう,부호·부자,JLPT_1 JLPT,de)G:rS8ob
布告,ふこく,포고,JLPT_1 JLPT,m`EP77(8*G
ブザー,ブザー,부저,JLPT_1 JLPT,C0kjm{<IuS
負債,ふさい,부채·빚,JLPT_1 JLPT,qG<ySRudYV
不在,ふざい,부재,JLPT_1 JLPT,rCM+ktTr!?
ふさわしい,ふさわしい,어울리다·적합하다,JLPT_1 JLPT,j1c*Q9d`L}
不順,ふじゅん,불순함,JLPT_1 JLPT,kwTZda>KFz
負傷,ふしょう,부상,JLPT_1 JLPT,o+oZbWGZ`o
侮辱,ぶじょく,모욕,JLPT_1 JLPT,g>J&PTIuaT
不審,ふしん,불심·의심스러움,JLPT_1 JLPT,jmIlRt&BUg
不振,ふしん,부진,JLPT_1 JLPT,G]_~>elSdu
武装,ぶそう,무장,JLPT_1 JLPT,JTlLA8kPQ$
札,ふだ,패·표·패말,JLPT_1 JLPT,P_/*Zy2*:b
負担,ふたん,부담,JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,Gta/;X`Z+t
不調,ふちょう,부조·상태가 나쁨,JLPT_1 JLPT,j!ymTpYo|(
復活,ふっかつ,부활,JLPT_1 JLPT,Hga}Pqjl1G
物議,ぶつぎ,물의·논란,JLPT_1 JLPT,E>jQlZ<@Gi
