expression,reading,meaning,tags,guid
財,ざい,부·재물,JLPT_1 JLPT,Lg^]^#Fui$
再会,さいかい,재회,JLPT_1 JLPT,nK{EZH)j58
災害,さいがい,재해,JLPT_1 JLPT,s/:E%{jbbX
細菌,さいきん,세균,JLPT_1 JLPT,I!s+/_djx3
細工,さいく,세공·공작,JLPT_1 JLPT,ouX.|>$33M
採掘,さいくつ,채굴,JLPT_1 JLPT,Qb&n#ag5.U
サイクル,サイクル,사이클·주기,JLPT_1 JLPT,CwR.:*^K)]
採決,さいけつ,표결,JLPT_1 JLPT,dGyNtnPzfu
再建,さいけん,재건,JLPT_1 JLPT,oY^(hGDwBB
再現,さいげん,재현,JLPT_1 JLPT,j$Iu*3{(HU
財源,ざいげん,재원,JLPT_1 JLPT,gD`:Vm3DD=
在庫,ざいこ,재고,JLPT_1 JLPT,I`6&P}MLhB
採算,さいさん,채산·수지타산,JLPT_1 JLPT,z3sqnTBL(n
サイズ,サイズ,사이즈·크기,JLPT_1 JLPT,J0]k_!eDR<
再生,さいせい,재생,JLPT_1 JLPT,hGl1Th{bx@
財政,ざいせい,재정,JLPT_1 JLPT,PbUztxpH:]
最善,さいぜん,최선,JLPT_1 JLPT,M-1H]L<~pq
採択,さいたく,채택,JLPT_1 JLPT,e+cLZEXhDr
栽培,さいばい,재배,JLPT_1 JLPT,uC68c<~cH)
再発,さいはつ,재발,JLPT_1 JLPT,CS^Rshk:|8
細胞,さいぼう,세포,JLPT_1 JLPT,CzyHns{dm!
採用,さいよう,채용,JLPT_1 JLPT,"vMLF5(iO,d"
遮る,さえぎる,가로막다·차단하다,JLPT_1 JLPT,QMaal]q?M$
さえずる,さえずる,지저귀다,JLPT_1 JLPT,r@Q>;L$}V-
冴える,さえる,맑아지다·선명해지다,JLPT_1 JLPT,F_K.fXalP!
竿,さお,장대·대,JLPT_1 JLPT,v^.R1:=Y[p
栄える,さかえる,번영하다·번창하다,JLPT_1 JLPT,w`<;(n%DdJ
差額,さがく,차액,JLPT_1 JLPT,gAXt@5CeYh
杯,さかずき,술잔,JLPT_1 JLPT,QIw#3oSw.:
逆立ち,さかだち,물구나무서기,JLPT_1 JLPT,ec~&YKW}51
先に,さきに,이전에·앞서,JLPT_1 JLPT,uh`5:/)TWv
詐欺,さぎ,사기,JLPT_1 JLPT,w6]yB.g{E!
削減,さくげん,삭감,JLPT_1 JLPT,k7zRyZ_D=o
錯誤,さくご,착오,JLPT_1 JLPT,IDfkC-Cw&L
作戦,さくせん,작전,JLPT_1 JLPT,s$Xs?1nQ+e
叫び,さけび,외침·비명,JLPT_1 JLPT,nqYX]L]Y*r
捧げる,ささげる,바치다,JLPT_1 JLPT,KhanDj}|vd
差し掛かる,さしかかる,다다르다·접어들다,JLPT_1 JLPT,IM%WW[zOZk
指図,さしず,지시·지도,JLPT_1 JLPT,N1]Ah`4~bh
差し出す,さしだす,내밀다·제출하다,JLPT_1 JLPT,A&xf;%;bo<
