expression,reading,meaning,tags,guid
転換,てんかん,전환,JLPT_1 JLPT,wq`yxTWAU4
転居,てんきょ,전거·이사,JLPT_1 JLPT,fpa)5#xLl3
転勤,てんきん,전근,JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,Cj#Grcg7-k
点検,てんけん,점검,JLPT_1 JLPT,nhsX!aB>^s
電源,でんげん,전원,JLPT_1 JLPT,"O,Y?B?G0AC"
天国,てんごく,천국·파라다이스,JLPT_1 JLPT,y;7l~-6:U2
天才,てんさい,천재,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,M=qf#].n@K
天災,てんさい,천재지변·재해,JLPT_1 JLPT,AbgU8k(]Fr
展示,てんじ,전시,JLPT_1 JLPT,BX?]-7Vf!l
伝説,でんせつ,전설,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,"Rdd+X!dSu,"
点線,てんせん,점선,JLPT_1 JLPT,"FYT!)Y,6rw"
転じる,てんじる,변하다·바꾸다,JLPT_1 JLPT,gk5Nvk`;hi
転ずる,てんずる,변하다·바꾸다,JLPT_1 JLPT,CI_As5:EDn
天体,てんたい,천체,JLPT_1 JLPT,jiDJT?nAAw
伝達,でんたつ,전달,JLPT_1 JLPT,Fu*Vb?uBII
天地,てんち,천지·세상,JLPT_1 JLPT,c+f-ty}$d!
てんで,てんで,전혀·도저히,JLPT_1 JLPT,iKsMS;CA<|
転任,てんにん,전임,JLPT_1 JLPT,rZvBTuhiHO
展望,てんぼう,전망,JLPT_1 JLPT,q|(m+;cCHK
伝来,でんらい,전래,JLPT_1 JLPT,"fDUHN*l8c,"
転落,てんらく,전락·굴러 떨어짐,JLPT_1 JLPT,Et(iYLp%EH
問い合わせる,といあわせる,문의하다·조회하다,JLPT_1 JLPT,uvJB[75Tk}
当～,とう～,당~ (우리 ~),JLPT_1 JLPT,Mu?thgozeE
胴,どう,몸통·몸체,JLPT_1 JLPT,hDa8pFJqm0
同意,どうい,동의·합의,JLPT_1 JLPT,j3r]HMmU>:
動員,どういん,동원,JLPT_1 JLPT,k#:gdO(AW5
同感,どうかん,동감,JLPT_1 JLPT,Bc/Cv&bn2c
陶器,とうき,도기·도자기,JLPT_1 JLPT,E}elXp_wGW
討議,とうぎ,토의·토론,JLPT_1 JLPT,BjpsxE0AcR
動機,どう기,동기,JLPT_1 JLPT,PXaG&3fRlH
等級,とうきゅう,등급,JLPT_1 JLPT,vFpm6[P%2G
同級,どうきゅう,동급,JLPT_1 JLPT,eqQ2)5CzED
同居,どうきょ,동거,JLPT_1 JLPT,QKzH>2eq3/
登校,とうこう,등교,JLPT_1 JLPT,B([>~_d]8F
統合,とうごう,통합,JLPT_1 JLPT,ji0.^JH`^U
動向,どうこう,동향,JLPT_1 JLPT,o.}lBa5|<`
投資,とうし,투자,JLPT_1 JLPT,cy=[{o&!H$
同情,どうじょう,동정,JLPT_1 JLPT,"Mbh,O)Kv:"
道場,どうじょう,도장 (훈련 장소),JLPT_1 JLPT,OojlS!TK3i
統制,とうせい,통제,JLPT_1 JLPT,K:r_8O#Kk`
当選,とうせん,당선·당첨,JLPT_1 JLPT,m]O74#<tB:
逃走,とうそう,도주,JLPT_1 JLPT,lS-lTa3)4.
統率,とうそつ,통솔,JLPT_1 JLPT,xpLjH)jf2X
到達,とうたつ,도달,JLPT_1 JLPT,H#Flm1MG6>
統治,とうち,통치,JLPT_1 JLPT,F]R4doym8Q
仕切る,しきる,칸을 막다·나누다·결산하다,JLPT_1 JLPT,G!$&r|A6Tu
資金,しきん,자금,JLPT_1 JLPT,l}_f:.$:^S
軸,じく,축·굴대,JLPT_1 JLPT,h+9$DC_v-#
しくじる,しくじる,실수하다·실패하다,JLPT_1 JLPT,N22-lR<CJ#
仕組,しくみ,구조·장치,JLPT_1 JLPT,zu6.9a/_f(
死刑,しけい,사형,JLPT_1 JLPT,d38&><SCHm
湿気る,しける,눅눅해지다·습기 차다,JLPT_1 JLPT,"j<,^YWvyDj"
施行,しこう,시행,JLPT_1 JLPT,MC~*r371(H
思考,しこう,사고·생각,JLPT_1 JLPT,G|{{/)+LPZ
志向,しこう,지향,JLPT_1 JLPT,O4`+5c5yv}
嗜好,しこう,기호·좋아함,JLPT_1 JLPT,z6!>1ULyhO
事項,じこう,사항,JLPT_1 Intermediate_Japanese_Ln.15 Intermediate_Japanese,p8bdtFtVNT
時刻表,じこくひょう,시간표,JLPT_1 JLPT Intermediate_Japanese_Ln.10 Intermediate_Japanese,Fqowxp!1`}
地獄,じごく,지옥,JLPT_1 JLPT,Dm&QxHR(%1
時差,じさ,시차,JLPT_1 JLPT,AEdcWK:0]/
自在,じざい,자재·마음대로,JLPT_1 JLPT,sqc[jw93Mn
視察,しさつ,시찰,JLPT_1 JLPT,"B,vh!;ocAA"
資産,しさん,자산·재산,JLPT_1 JLPT,MI@T>IcVHN
