expression,reading,meaning,tags,guid
軽蔑,けいべつ,경멸,JLPT_1 JLPT,"lOS,!wvUe["
経歴,けいれき,경력,JLPT_1 JLPT,D*n(@DRyq`
経路,けいろ,경로,JLPT_1 JLPT,AQ(D;C-S!0
けがらわしい,けがらわしい,추잡한·불결한,JLPT_1 JLPT,lJNQ&9#g@p
劇団,げきだん,극단,JLPT_1 JLPT,%y17:4{hj
激励,げきれい,격려,JLPT_1 JLPT,C6/gh1N08I
ゲスト,ゲスト,게스트·손님,JLPT_1 JLPT,lW>d7fCUoL
獣,けだもの,짐승,JLPT_1 JLPT,"o.IW_<j!,1"
決,けつ,결·결정,JLPT_1 JLPT,h7W;[eV_6*
決意,けつい,결의,JLPT_1 JLPT,Gg{:k%<AT6
結核,けっかく,결핵,JLPT_1 JLPT,dB99/5N;ta
決議,けつぎ,결의,JLPT_1 JLPT,tcKhTpRM%o
結合,けつごう,결합,JLPT_1 JLPT,Q*@FzK(@81
決算,けっさん,결산,JLPT_1 JLPT,z2iqWC-nB~
月謝,げっしゃ,월사금,JLPT_1 JLPT,t[*0i:*.#i
決勝,けっしょう,결승,JLPT_1 JLPT,NFjb:+3q7*
結晶,けっしょう,결정,JLPT_1 JLPT,x*(Q^EE$u3
結成,けっせい,결성,JLPT_1 JLPT,c_%F>ZhYyr
結束,けっそく,결속,JLPT_1 JLPT,JdP5@BTWkb
げっそり,げっそり,홀쭉해짐·낙담함,JLPT_1 JLPT,EtlnVvKbZd
決断,けつだん,결단,JLPT_1 JLPT,w;j;5-!>6(
月賦,げっぷ,월부,JLPT_1 JLPT,I{X4ZTn7X9
欠乏,けつぼう,결핍,JLPT_1 JLPT,x8kzLzQh~#
蹴飛ばす,けとばす,걷어차다,JLPT_1 JLPT,b5){X3eg^W
けなす,けなす,깎아내리다·헐뜯다,JLPT_1 JLPT,BA]o8V-nRc
煙たい,けむたい,거북한·연기 나는,JLPT_1 JLPT,M_8T~aeKk.
煙る,けむる,연기 나다·흐릿하다,JLPT_1 JLPT,"O+^L$,-au7"
獣,けもの,짐승,JLPT_1 JLPT,q-7J3|/7Vg
家来,けらい,가신·하인,JLPT_1 JLPT,n|b=[)XZ>2
下痢,げり,설사,JLPT_1 JLPT Intermediate_Japanese_Ln.12 Intermediate_Japanese,D94n#KX+u`
権威,けんい,권위,JLPT_1 JLPT,lZZG^l>c$z
