expression,reading,meaning,tags,guid
捗る,はかどる,진척되다·일이 순조롭게 나아가다,JLPT_1 JLPT,LcVyrW<_Ko
はかない,はかない,덧없다·허무하다·순간적인,JLPT_1 JLPT,wqukd{`F!4
ばかばかしい,ばかばかしい,바보스럽다·터무니없다,JLPT_1 JLPT,PG3w`deiE$
破棄,はき,파기·취소,JLPT_1 JLPT,bm7xC^8X(_
剥ぐ,はぐ,벗기다·박탈하다,JLPT_1 JLPT,D@e1MI=??R
迫害,はくがい,박해,JLPT_1 JLPT,ApZ+iCu%0a
薄弱,はくじゃく,박약함·희박함,JLPT_1 JLPT,f:hfy$ygWT
白状,はくじょう,자백·고백,JLPT_1 JLPT,J/Jj0`N>b{
漠然,ばくぜん,막연함·모호함,JLPT_1 JLPT,z<3ukk)iX!
爆弾,ばくだん,폭탄,JLPT_1 JLPT,qYU+(QByX-
爆破,ばくは,폭파,JLPT_1 JLPT,"m),XrBltSD"
暴露,ばくろ,폭로,JLPT_1 JLPT,i/U;Q_t$DD
励ます,はげます,격려하다·북돋우다,JLPT_1 JLPT Intermediate_Japanese_Ln.13 Intermediate_Japanese,Ov]Au<DThv
励む,はげむ,힘쓰다·노력하다,JLPT_1 JLPT,eRMmv1gB8h
剥げる,はげる,벗겨지다·퇴색하다,JLPT_1 JLPT,m#-VcH[ruD
化ける,ばける,둔갑하다·변장하다,JLPT_1 JLPT,"zsj~iuc<,S"
派遣,はけん,파견,JLPT_1 JLPT,xZEi_Ueutn
恥,はじ,치욕·부끄러움,JLPT_1 JLPT,H_9U]_^tqP
弾く,はじく,튀기다·거절하다·기타 등을 치다,JLPT_1 JLPT,p02dcV&o1#
パジャマ,パジャ마,파자마·잠옷,JLPT_1 JLPT,Ipo@;IW-Nr
恥じらう,はじらう,부끄러워하다·수줍어하다,JLPT_1 JLPT,"D}9,{%uTed"
恥じる,はじる,부끄러워하다,JLPT_1 JLPT,p`-?T7SXQx
橋渡し,はしわたし,중개·다리 역할,JLPT_1 JLPT,l%|j(`9GzE
弾む,はずむ,들뜨다·활기가 넘치다·튕기다,JLPT_1 JLPT,jr]t()sL{)
破損,はそん,파손,JLPT_1 JLPT,AcKSLKW:yW
叩く,はたく,먼지를 털다·때리다,JLPT_1 JLPT,"dWYi~RDgh,"
裸足,はだし,맨발,JLPT_1 JLPT,"po~Uf#TR,"
果たす,はたす,완수하다·달성하다,JLPT_1 JLPT,"DK+O{$,$^%"
蜂蜜,はちみつ,벌꿀,JLPT_1 JLPT,t2`Wi>Wvpr
