expression,reading,meaning,tags,guid,example_jp,example_reading_hiragana,example_ko
迷信,めいしん,미신,JLPT_1 JLPT,G(zu=l:W*l,迷信を信じて夜道を避けた。,めいしんをしんじてよみちをさけた。,미신을 믿고 밤길을 피했다.
名誉,めいよ,명예,JLPT_1 JLPT,*y~Du+=3uQ,彼は名誉ある賞を受けた。,かれはめいよあるしょうをうけた。,그는 영예로운 상을 받았다.
巡り,めぐり,"한바퀴 돎, 여기저기 돎, 순례",JLPT_1 JLPT,h*HE]Jyt=s,京都の寺巡りを楽しんだ。,きょうとのてらめぐりをたのしんだ。,교토의 절 순례를 즐겼다.
巡る,めぐる,① 돌다 ② 둘러싸다,JLPT_1 JLPT,{JXAw!Ssz0,季節はまた巡ってくる。,きせつはまためぐってくる。,계절은 다시 돌아온다.
網羅,もうら,망라,JLPT_1 JLPT,eBr17+|4`P,本書は主要な説を網羅している。,ほんしょはしゅようなせつをもうらしている。,이 책은 주요 학설을 망라하고 있다.
猛烈,もうれつ,맹렬함,JLPT_1 JLPT,dujH-{R<4T,猛烈な風が窓を揺らした。,もうれつなかぜがまどをゆらした。,맹렬한 바람이 창문을 흔들었다.
模索,もさく,모색,JLPT_1 JLPT,aEiD0q4X3<,新たな解決策を模索する。,あらたなかいけつさくをもさくする。,새로운 해결책을 모색한다.
戻す,もどす,되돌리다,JLPT_1 JLPT,&1QdH*+JpV,読んだ本を棚に戻した。,よんだほんをたなにもどした。,읽은 책을 선반에 돌려놓았다.
物事,ものごと,"세상사, 매사",JLPT_1 JLPT,uW9i|j5sEz,物事を冷静に判断しよう。,ものごとをれいせいにはんだんしよう。,매사를 냉정하게 판단하자.
模様,もよう,"모양, 무늬",JLPT_1 JLPT,GmMN7C(=6>,壁に花の模様を描いた。,かべにはなのもようをえがいた。,벽에 꽃무늬를 그렸다.
催す,もよおす,개최하다,JLPT_1 JLPT,)?=$m4o#;W,来月、駅前で祭りを催す。,らいげつ、えきまえでまつりをもよおす。,다음 달 역 앞에서 축제를 연다.
躍進,やくしん,약진(눈부시게 진출함),JLPT_1 JLPT,">L*%J[Y],f",新興企業の躍進が目立つ。,しんこうきぎょうのやくしんがめだつ。,신흥 기업의 약진이 두드러진다.
