expression,reading,meaning,tags,guid,example_jp,example_reading_hiragana,example_ko
担う,になう,짊어지다,JLPT_1 JLPT,GKBjT4d/6;,若い世代が地域の将来を担う。,わかいせだいがちいきのしょうらいをになう。,젊은 세대가 지역의 미래를 짊어진다.
ニュアンス,ニュアンス,"뉘앙스, 미묘한 차이",JLPT_1 JLPT,[C80jnSPYu,その言い方では少し冷たいニュアンスが伝わる。,そのいいかたではすこしつめたいにゅあんすがつたわる。,그런 말투에서는 조금 차가운 뉘앙스가 전해진다.
ネックになる,ネックになる,걸림돌이 되다,JLPT_1 JLPT,eZBWjo`pai,高い維持費が購入のネックになっている。,たかいいじひがこうにゅうのねっくになっている。,비싼 유지비가 구매의 걸림돌이 되고 있다.
ねばり,ねばり,"찰기, 끈기",JLPT_1 JLPT,y/pG)3RMHq,この餅は適度なねばりがあっておいしい。,このもちはてきどなねばりがあっておいしい。,이 떡은 적당한 찰기가 있어서 맛있다.
練る,ねる,"① 반죽하다 ② (계획·문장 등) 다듬다, 짜다",JLPT_1 JLPT,"R|JJ@}dj,r",会議を重ねて新商品の構想を練る。,かいぎをかさねてしんしょうひんのこうそうをねる。,회의를 거듭하며 신상품 구상을 다듬는다.
念願,ねんがん,염원,JLPT_1 JLPT,EtdQ-Yc-%T,十年来の念願だった店をようやく開いた。,じゅうねんらいのねんがんだったみせをようやくひらいた。,십 년 동안 염원하던 가게를 마침내 열었다.
念頭,ねんとう,염두,JLPT_1 JLPT,B/vhQ_N~&t,常に安全を念頭に置いて作業してください。,つねにあんぜんをねんとうにおいてさぎょうしてください。,항상 안전을 염두에 두고 작업해 주세요.
ノウハウ,ノウハウ,노하우,JLPT_1 JLPT,"X,[jG0&ID6",先輩から営業のノウハウを教わった。,せんぱいからえいぎょうののうはうをおそわった。,선배에게 영업 노하우를 배웠다.
脳裏,のうり,뇌리,JLPT_1 JLPT,n4;s7LFy#<,別れ際の母の顔が今も脳裏に焼き付いている。,わかれぎわのははのかおがいまものうりにやきついている。,헤어질 때의 어머니 얼굴이 지금도 뇌리에 새겨져 있다.
のきなみ,のきなみ,"일제히, 다 함께",JLPT_1 JLPT,tR$I-*X0UB,大雪で県内の学校はのきなみ休校になった。,おおゆきでけんないのがっこうはのきなみきゅうこうになった。,폭설로 현 내 학교들이 일제히 휴교했다.
のぞましい,のぞましい,바람직하다,JLPT_1 JLPT,cFT0m:2Tp7,重要な決定には全員の合意がのぞましい。,じゅうようなけっていにはぜんいんのごういがのぞましい。,중요한 결정에는 전원의 합의가 바람직하다.
のどか,のどか,① 한가로움 ② 날씨가 화창함,JLPT_1 JLPT,cXIH&|Ns!+,牛が草を食べるのどかな風景が広がっている。,うしがくさをたべるのどかなふうけいがひろがっている。,소가 풀을 뜯는 한가로운 풍경이 펼쳐져 있다.
ノルマ,ノルマ,"기준량, 할당량",JLPT_1 JLPT,v%&VmQdw6?,今月の営業ノルマを昨日達成した。,こんげつのえいぎょうのるまをきのうたっせいした。,이번 달 영업 할당량을 어제 달성했다.
～派,～は,~파,JLPT_1 JLPT,"!!,;h<c/FW",私は旅行では綿密な計画を立てる派だ。,わたしはりょこうではめんみつなけいかくをたてるはだ。,나는 여행할 때 치밀한 계획을 세우는 편이다.
背景,はいけい,배경,JLPT_1 JLPT,=jWa1!XAQ>,物語の背景には作者自身の戦争体験がある。,ものがたりのはいけいにはさくしゃじしんのせんそうたいけんがある。,이야기의 배경에는 작가 자신의 전쟁 경험이 있다.
配慮,はいりょ,배려,JLPT_1 JLPT,wLq@/I&MVU,高齢者に配慮して入口に手すりを付けた。,こうれいしゃにはいりょしていりぐちにてすりをつけた。,고령자를 배려해 입구에 난간을 설치했다.
ハードル,ハードル,① 기준 ② 장애물,JLPT_1 JLPT,!wxE=3J+I/,未経験者には応募条件のハードルが高い。,みけいけんしゃにはおうぼじょうけんのはーどるがたかい。,미경험자에게는 지원 조건의 문턱이 높다.
ばかばかしい,ばかばかしい,몹시 어리석다,JLPT_1 JLPT,"*,vcGGXUA0",そんなばかばかしい噂を信じる人はいない。,そんなばかばかしいうわさをしんじるひとはいない。,그런 터무니없는 소문을 믿는 사람은 없다.
破棄,はき,파기,JLPT_1 JLPT,")*1b[ZSK,H",契約違反を理由に合意を破棄した。,けいやくいはんをりゆうにごういをはきした。,계약 위반을 이유로 합의를 파기했다.
はじく,はじく,"튀기다, 튕겨 내다",JLPT_1 JLPT,|oq-RR/@3(,ギターの弦を指ではじいた。,ぎたーのげんをゆびではじいた。,기타 줄을 손가락으로 튕겼다.
弾む,はずむ,"들뜨다, 신이 나다",JLPT_1 JLPT,JrWpvJNgyI,旅行の前日は期待に胸が弾んだ。,りょこうのぜんじつはきたいにむねがはずんだ。,여행 전날에는 기대감에 가슴이 설렜다.
発覚,はっかく,발각,JLPT_1 JLPT,}IH}/!Vk]I,内部告発によって不正会計が発覚した。,ないぶこくはつによってふせいかいけいがはっかくした。,내부 고발로 부정 회계가 발각되었다.
発散,はっさん,발산,JLPT_1 JLPT,%zFCUor>5e,週末は運動して仕事のストレスを発散する。,しゅうまつはうんどうしてしごとのすとれすをはっさんする。,주말에는 운동으로 업무 스트레스를 발산한다.
抜粋,ばっすい,발췌,JLPT_1 JLPT,"/_,K_?OrN{",長い報告書から重要な部分だけを抜粋した。,ながいほうこくしょからじゅうようなぶぶんだけをばっすいした。,긴 보고서에서 중요한 부분만 발췌했다.
